,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
135,135,49,1,road,135,,-264.5,-269.8817829457364,-208.5,-440.0,-408.4573643410852,-416.0,-67.83143208218007,-223.72463901774967
136,136,49,1,road,136,,-239.5,-94.03761348897524,35.0,-449.5,-420.408560311284,-422.0,-67.83143208218007,-223.72463901774967
137,137,49,1,road,137,,-89.5,-52.95161290322562,14.5,-360.0,-329.43870967741987,-360.5,-67.83143208218007,-223.72463901774967
138,138,49,1,road,138,,-150.5,-100.61125485122876,-21.0,-330.5,-223.6862871927556,-141.5,-67.83143208218007,-223.72463901774967
139,139,49,1,road,139,,-246.5,-68.01158301158307,32.0,-87.5,-59.34491634491678,61.0,-67.83143208218007,-223.72463901774967
140,140,49,1,road,140,,-98.0,95.79370179948592,153.0,-110.0,-62.88174807197947,16.5,-67.83143208218007,-223.72463901774967
141,141,49,1,road,141,,-82.5,-38.88481338481347,109.5,-17.0,-28.32368082368157,-66.5,-67.83143208218007,-223.72463901774967
142,142,49,1,road,142,,-196.0,-194.20629820051383,-112.5,-98.5,-52.5122107969155,-37.0,-67.83143208218007,-223.72463901774967
143,143,49,1,road,143,,-51.0,15.952258064515943,-42.0,-62.0,191.4993548387099,499.5,-67.83143208218007,-223.72463901774967
144,144,49,1,road,144,,-143.0,17.492866407263364,-4.0,226.0,159.8268482490273,85.5,-67.83143208218007,-223.72463901774967
145,145,49,1,road,145,,25.0,150.68093385214024,145.0,303.0,306.2451361867704,300.5,-67.83143208218007,-223.72463901774967
146,146,49,1,road,146,,125.5,296.3795336787564,392.0,457.0,389.6554404145081,457.5,-67.83143208218007,-223.72463901774967
147,147,49,1,road,147,,-70.5,201.96507115135864,309.0,140.0,139.39197930142336,149.0,-67.83143208218007,-223.72463901774967
148,148,49,1,road,148,,-81.0,247.30967741935524,388.0,-6.0,20.40129032258073,-60.5,-67.83143208218007,-223.72463901774967
149,149,49,1,road,149,,196.0,226.42322580645143,239.5,264.5,147.6541935483874,109.0,-67.83143208218007,-223.72463901774967
150,150,49,1,road,150,,111.5,42.22551546391696,-146.5,296.5,373.2738402061855,494.0,-67.83143208218007,-223.72463901774967
151,151,49,1,road,151,,-429.5,-280.01994851994846,99.0,-194.0,-72.2541827541827,108.0,-67.83143208218007,-223.72463901774967
152,152,49,1,road,152,,-377.5,-222.652258064516,-59.5,-130.5,4.585806451612825,124.0,-67.83143208218007,-223.72463901774967
153,153,49,1,road,153,,-481.5,-368.8732303732302,-270.5,-124.0,-107.5218790218796,33.0,-67.83143208218007,-223.72463901774967
154,154,49,1,road,154,,-325.5,-358.39317889317886,-317.5,-285.5,-290.4581724581726,-285.0,-67.83143208218007,-223.72463901774967
155,155,49,1,road,155,,-412.0,-352.27225806451656,-279.0,-476.5,-454.54838709677415,-424.0,-67.83143208218007,-223.72463901774967
156,156,49,1,road,156,,-340.5,-305.00902061855663,-181.5,-214.5,-232.9052835051544,-243.0,-67.83143208218007,-223.72463901774967
157,157,49,1,road,157,,-437.5,-420.3608247422683,-414.5,-255.5,-317.7171391752572,-388.0,-67.83143208218007,-223.72463901774967
158,158,49,1,road,158,,-646.5,-634.1796368352789,-850.0,-310.5,-315.19001297016894,-476.5,-67.83143208218007,-223.72463901774967
159,159,49,1,road,159,,-778.0,-810.0167095115678,-812.0,-655.0,-635.6394601542411,-569.0,-67.83143208218007,-223.72463901774967
160,160,49,1,road,160,,-536.5,-538.448119325551,-425.5,-647.5,-581.5654993514922,-518.5,-67.83143208218007,-223.72463901774967
161,161,49,1,road,161,,-449.0,-557.136597938144,-715.0,-531.0,-526.4368556701033,-567.0,-67.83143208218007,-223.72463901774967
162,162,49,1,left_25,0,,167.5,-32.14221364221385,-184.5,-53.5,82.2580437580441,197.5,-67.83143208218007,-223.72463901774967
163,163,49,1,left_25,1,,167.5,-12.50642673521861,-184.5,-53.5,66.02377892030881,197.5,-67.83143208218007,-223.72463901774967
164,164,49,1,left_25,2,,-325.5,-178.0489690721647,-180.0,-158.5,-13.109536082474731,6.5,-67.83143208218007,-223.72463901774967
165,165,49,1,left_25,3,,-114.0,-30.5862290862292,17.5,-156.0,-54.96525096525056,6.5,-67.83143208218007,-223.72463901774967
166,166,49,1,left_25,4,,77.0,56.33051948051934,53.5,-149.5,-70.60064935064975,-60.5,-67.83143208218007,-223.72463901774967
167,167,49,1,left_25,5,,46.5,-14.799741602067115,22.5,118.0,142.63178294573663,160.5,-67.83143208218007,-223.72463901774967
168,168,49,1,left_25,6,,27.0,42.688144329897,58.5,-66.0,11.58054123711372,180.0,-67.83143208218007,-223.72463901774967
169,169,49,1,left_25,7,,12.5,-3.541184041184124,-77.0,-72.5,-52.76447876447856,-8.5,-67.83143208218007,-223.72463901774967
170,170,49,1,left_25,8,,-67.5,-28.97992227979273,61.5,-67.5,-37.356865284973765,-71.5,-67.83143208218007,-223.72463901774967
171,171,49,1,left_25,9,,-107.5,-113.95366795366772,-155.5,41.5,-79.75868725868759,-76.5,-67.83143208218007,-223.72463901774967
172,172,49,1,left_25,10,,-25.5,-19.163239074550347,-4.5,12.0,-82.36760925449835,-105.0,-67.83143208218007,-223.72463901774967
173,173,49,1,left_25,11,,-101.0,-79.85658914728697,-67.0,-258.0,-65.15180878552974,35.5,-67.83143208218007,-223.72463901774967
174,174,49,1,left_25,12,,-52.5,-61.52010376134899,-212.0,-96.0,-122.67315175097292,77.5,-67.83143208218007,-223.72463901774967
175,175,49,1,left_25,13,,59.0,94.05584415584416,177.5,-123.0,-89.80000000000018,-52.0,-67.83143208218007,-223.72463901774967
176,176,49,1,left_25,14,,-254.0,-40.55064935064945,-28.0,-20.5,82.80389610389602,-66.0,-67.83143208218007,-223.72463901774967
177,177,49,1,left_25,15,,-534.5,-128.93161290322587,43.5,-154.5,-83.91806451612888,-31.5,-67.83143208218007,-223.72463901774967
178,178,49,1,left_25,16,,-557.0,-336.8976833976834,-257.0,-336.0,-147.15765765765764,-5.5,-67.83143208218007,-223.72463901774967
179,179,49,1,left_25,17,,-514.0,-128.50518134715048,-19.5,-309.0,-146.09650259067325,-142.5,-67.83143208218007,-223.72463901774967
180,180,49,1,left_25,18,,-40.0,-26.57642487046633,-3.0,-56.0,-63.63147668393776,-77.5,-67.83143208218007,-223.72463901774967
181,181,49,1,left_25,19,,-167.0,-19.326898326898345,31.5,-111.0,-21.898326898327014,60.5,-67.83143208218007,-223.72463901774967
182,182,49,1,left_25,20,,-73.5,-64.04574742268028,8.0,-187.5,-198.6791237113407,-96.5,-67.83143208218007,-223.72463901774967
183,183,49,1,left_25,21,,-557.5,-241.7467866323909,-87.5,-667.0,-584.7467866323911,-598.5,-67.83143208218007,-223.72463901774967
184,184,49,1,left_25,22,,-57.0,-99.06160830090788,140.5,-314.0,-322.3151750972768,-320.5,-67.83143208218007,-223.72463901774967
185,185,49,1,left_25,23,,-445.0,-213.00513478818985,-149.0,107.0,94.20282413350468,275.0,-67.83143208218007,-223.72463901774967
186,186,49,1,left_25,24,,-39.0,-139.51623376623388,35.5,-191.5,-79.69805194805213,-33.0,-67.83143208218007,-223.72463901774967
187,187,49,1,left_25,25,,-258.0,-219.6420308483289,-156.0,-424.5,-290.1497429305914,-261.0,-67.83143208218007,-223.72463901774967
188,188,49,1,left_25,26,,-359.0,-165.41352405721705,-165.5,-369.5,-136.75682704811425,-50.0,-67.83143208218007,-223.72463901774967
189,189,49,1,left_25,27,,-255.0,-136.9715394566622,-83.0,-25.5,-159.91526520051752,-212.0,-67.83143208218007,-223.72463901774967
190,190,49,1,left_25,28,,-15.0,-15.386100386100225,35.5,-179.5,-161.68983268983243,-191.0,-67.83143208218007,-223.72463901774967
191,191,49,1,left_25,29,,-51.5,-25.18111254851237,-32.0,-211.5,-195.2115135834415,-262.0,-67.83143208218007,-223.72463901774967
